	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
비장하다	어느때보다 비장하였다. 	비장하였다	막대한 책임감과 비장한 각오로 책상에 앉았다. 	비장한	어딘가 비장해 보이는 그를 지나쳤다. 	비장해	신기술을 발표하는 자리에서 사회자는 누구보다도 비장했다. 	비장했다	그 군인은 돌아오면 할 일들에 대해서 한참을 이야기하다가 비장하게 떠났다. 	비장하게	비장한 각오로 시작하는 사람들은 일찍 지치기도 한다.	비장한
아슬아슬하다	황제의 분노가 누구를 향할 지 몰라 분위기는 긴장을 놓을 수 없었고 몹시 아슬아슬하였다. 	아슬아슬하였다.	생사가 달린 아슬아슬한 상황 속에서도 침착을 유지하는 선생님이 존경스러웠다. 	아슬아슬한	떨리는 손으로 공부하는 그녀는 벼랑 끝에 선 듯, 아슬아슬해 보였다. 	아슬아슬해	사람들을 제치며 숨이 모자랄만큼 빠르게 달렸지만 시간이 아슬아슬했다. 	아슬아슬했다	아슬아슬해 보이지만 절대 무너지지 않은 돌은 관광명소가 되었다.	아슬아슬해	일말의 희망 없이 절망감을 갖고 임한 내 첫 수술은 아슬아슬하게 성공했다. 	아슬아슬한
애끓다	누구도 자신을 믿어주지 않아 그는 몹시 애끓었다.	애끓었다	애끓는 마음을 애써 외면하였다. 	애끓는	애끊게 울부짖는 배우의 연기를 보고 나도 모르게 눈물을 흘렸다. 	애끓게	그의 회피적인 성향은 나를 애끓게 만들었다. 	애끓게	그의 애끓는 눈동자에는 오직 나만이 존재했다. 	애끓는	약간의 취기와 지금이 마지막 만남일 수도 있다는 불안감이 두 사람을 애끓게 만들었다.	애끓게
역정	기나긴 역정을 거치고 마침내 도달한 조국이었다. 	역정	그 허수아비 황제는 충언을 건넨 신하에게 역정을 내었다. 	역정	이도저도 못하는 상황에 그 지도자는 역정이 많이 난 듯 하였다. 	역정	할머님께서는 역정을 내는 자신의 아이를 슬픈 눈으로 그저 바라볼 뿐이었다. 	역정	그는 자신의 역린에 대해 일말의 언급이라도 하는 사람에게 크게 역정을 내곤 했다.	역정을 내곤	직원은 역정을 내는 손님의 이야기를 그저 듣고 있었다. 	역정을 내는
조마조마하다	그 신입은 자신의 실수가 드러날까 조마조마하였다. 	조마조마하였다	조마조마한 마음을 가라앉혔다.	조마조마한	조마조마하여 쓰러지지 않게 버티는 것이 고작이었다.	조마조마하여	실수를 들킬까 조마조마한 마음뿐이었다. 	조마조마한	조마조마한 마음으로 엄격한 상사에게 검토받을 서류를 준비했다. 	조마조마한	겨우 단상대에 오른 발표자를 조마조마하게 바라보았다. 	조마조마하게
조바심	일정에 차질이 생길까 조바심을 냈다. 	조바심을 냈다	이전과 같은 습격이 계속될 것 같아 조바심으로 몸을 떨었다. 	조바심	누군가 자신을 알아볼까 하는 조바심에 전전긍긍하였다. 	조바심	이전의 당당함은 온데간데없이 조바심을 감추려고 노력하는 모습이 안타까워 보일 정도였다. 	조바심	눈길로 시계 초침이 움직이기라도 하는 듯 재차 확인하며 조바심을 냈다. 	조바심을 냈다	의료진을 붙잡으며 울부짖는 그는 조바심을 감추려는 여유조차 없어보였다. 	조바심
가련하다	늙고 초라한 그의 모습은 참으로 가련하였다. 	가련하였다	가련한 상황 속에서도 포기하지 않는 당참이 빛났다.	가련한	자신의 처지가 가련하여 술을 들이켰다.	가련하여	사람을 경계하는 모습이 더욱 가련했다. 	가련했다	가련한 모습에 손을 내밀어주지 않을 수 없었다. 	가련한	비를 맞고 있는 모습이 한없이 가련해 보였다. 	가련해
가엾다	의지할 곳 하나 없이, 홀로 남겨진 친구의 상황이 가엾다. 	가엾다	가엾은 사람한테 함부로 정을 주지 말아야 한다.	가엾은	홀로 떠나기 위해 짐을 싸는 과정조차 한없이 가엾어 보였다. 	가엾어	자신을 사랑해주는 사람이라고는 존재하지 않는 것 같다며 가엾게 울었다. 	가엾게	가엾은 친구의 상황에 나도 모르게 눈물이 흘렀다.	가엾은	하루사이에 가족을 모두 잃은 사촌동생이 가엾어 보였다.	가엾어
겸연쩍다	흡연자인 것은 알고 있었으나, 함께 담배를 피우기는 어딘가 겸연쩍었다.	겸연쩍었다	그녀는 겸연쩍은 얼굴로 초대장을 받아들고 떠났다.	겸연쩍은	겸연쩍게 웃으며 말을 건네는 모습에 웃음이 나왔다.	겸연쩍게	그 일이 있은 후에 우연히 만나기라도 하는 날이면 겸연쩍게 자리를 피했다. 	겸연쩍게	겸연쩍은 웃음과 함께 등장한 그는 모두의 관심을 받았다.	겸연쩍은	자신이 생각했을 때도 스스로가 겸연쩍은지 목을 매만졌다.	겸연쩍은지
머쓱하다	이렇게 격식있는 자리에서 사람들을 마주하니 머쓱하였다. 	머쓱하였다	핀잔을 잔뜩 들어 머쓱한 모양이었다.	머쓱한	신나게 학창시절 이야기를 하다 머쓱하게 나를 바라보았다. 	머쓱하게	그녀는 할 말이 없어지면 머쓱하게 짧게 자른 뒷머리를 쓱쓱 매만지곤 했다. 	머쓱하게	진심이라는 것이 본디 눈길 하나에서 티 나는 법이라며 머쓱해했다.	머쓱해했다	자신에 대한 칭찬만이 이어지는 대화의 흐름이 머쓱한 듯 주제를 돌리려고 했다. 	머쓱한
동정하다	이전의 나와 겹쳐보이는 그녀를 동정했다.	동정했다	그의 처지에 동정하는 마음으로 짧은 위로를 건네었다. 	동정하는	내 너를 동정하여 곁을 내어주었거늘, 이리 보답하는구나.	동정하여	동정하는 눈빛이 좀 잠잠해지다 싶었더니 이젠 가해자 취급을 받네요.	동정하는	필요 이상의 동정은 무례가 될 수도 있다.	동정	얼굴 한 번 마주해보지 않은 상대에게 동정심이 일었다. 	동정심
불쌍하다	말 하나에 일희일비하는 스스로가 불쌍했다.	불쌍했다	불쌍한 사람들은 서로를 도우며 위기를 현명히 헤쳐나갔다. 	불쌍한	비를 맞으며 오지 않을 이를 기다리는 모습이 불쌍하게 보였다. 	불쌍하게	구멍 뚫린 운동화를 기워서 몇 년간 신고 있는 모습은 불쌍했다.	불쌍했다	그녀는 불쌍한 척을 하며 자신이 원하는 대로 상대방을 주무르곤 했다. 	불쌍한	불쌍하지도 않냐며 바락 화를 낼 때면 몹시 당황스러운 것이었다.	불쌍하지도
멋쩍다	화해는 했지만, 한 자리에서 보니 괜히 멋쩍었다.	멋쩍었다	이제서야 대답하는 스스로가 멋쩍은지 내 눈치를 살폈다. 	멋쩍은	곤란한 질문에 멋쩍어 하며 시선을 피했다. 	멋쩍어	동창들을 다시 보기 멋쩍었는지 그는 동창회에 참석하지 않았다.	멋쩍었는지	멋쩍은 웃음을 보이며 교실을 나선 후에는 그를 본 사람이 없었다. 	멋쩍은	멋쩍게 거절하나 싶더니 초대장을 휙 낚아채곤 사라졌다.	멋쩍게
샐쭉하다	성미에 차지 않았는지 몹시 샐쭉하였다. 	샐쭉하였다	직원은 적은 팁을 받고선 샐쭉한 표정을 지었다.	샐쭉한	정인을 마주한 그녀는 수줍은 듯 샐쭉하며 연하게 웃었다. 	샐쭉하며	입술을 샐쭉하고 웃으며 나한테 다정하게 말을 걸었다. 그녀만의 부탁 방법이었다.	샐쭉하고	다른 사람들이 가득한 연회장에서는 샐쭉하며 나를 모른체하였다. 	샐쭉하며	내가 건넨 손수건을 받으며 표정은 샐쭉하였지만 내심 좋아하는 것 같았다. 	샐쭉하였지만
싱숭생숭하다	4년간 몸담았던 곳을 떠나며 몹시 싱숭생숭하였다.	싱숭생숭하였다	싱숭생숭한 마음까지 모두 캐리어에 담았다. 	싱숭생숭한	싱숭생숭하여 가만히 강의 윤슬을 바라보고 있던 참이었다.	싱숭생숭하여	그녀를 떠나보내고도 찾아오는 봄이라는 계절의 설렘에 싱숭생숭했다.	싱숭생숭했다	그녀는 나고 자란 지역을 떠나며 싱숭생숭한 기분이 들었다.	싱숭생숭한	다른 진로를 결심한 후에 인사를 하고 싱숭생숭하게 학원을 나왔다. 	싱숭생숭하게
쑥스럽다	이런 식으로 재회하게 되어 쑥스러웠다.	쑥스러웠다	쑥스러운 속내를 감추고 악수에 응했다.	쑥스러운	쑥스럽게 상패를 받아들었다.	쑥스럽게	자신에 대한 미담을 읽어야 하는 상황이 몹시 쑥스러웠다.	쑥스러웠다	쑥스러운지 아무 말 없이 고개만을 끄덕일 뿐이었다.	쑥스러운지	자신에 대한 칭찬을 들으면 얼굴이 붉어지며 쑥스러워했다.	쑥스러워했다
아쉽다	간만의 만남이었지만, 혼자만의 시간이 침범받은 느낌이 들어 내심 아쉬웠다. 	아쉬웠다	시계를 한 번 쳐다보고서 아쉬운 마음으로 일어섰다. 	아쉬운	저는 아쉽게 헤어지면 다음 만남을 앞당기게 되던데요.	아쉽게	불모지에서 만난 사람처럼 반가운 친구와의 헤어짐은 너무나도 아쉬웠다.	아쉬웠다	가족과의 재회는 아쉬워하는 시간조차 빠르게 흘렀다. 	아쉬워하는	앞으로의 앞날에 대해서는 아쉽게도 다음을 기약해야 했다. 	아쉽게도
안쓰럽다	홀로 남겨진 동생이 안쓰러웠다.	안쓰러웠다	나는 당신의 안쓰러운 애정조차 갈망했다. 	안쓰러운	토악질을 해 대는 아이의 등을 안쓰럽게 토닥였다. 	안쓰럽게	갈 곳조차 없어 길에서 시간을 보내는 모습이 안쓰러웠다.	안쓰러웠다	자신의 안쓰러운 처지를 내세우며 원하는 것을 얻어내곤 했다. 	안쓰러운	명왕성은 퇴출되기 전 날, 안쓰럽게 빛났다.	안쓰럽게
안타깝다	열심히 준비했지만 우승하지 못한 것이 안타까웠다.	안타까웠다	안타까운 마음으로 바닥에 떨어진 책을 집어들었다. 	안타까운	안타깝게도, 제 최선은 여기까지입니다.	안타깝게도	자신의 무지를 인식조차 하지 못하는 모습이 안타까웠다.	안타까웠다	진심으로 안타까워하며 나를 응원해주는 친구가 있어 버틸 수 있었다.	안타까워하며	사람 하나 찾아오지 않는 죽음이라니. 안타까운 마음으로 고인의 장례를 정성껏 치뤘다. 	안타까운
애도하다	유족들은 고인을 깊이 애도했다.	애도했다	묘를 닦고, 기록을 남기고, 추억을 회상하듯 애도하는 방법은 다양하다. 	애도하는	살아생전 천사라는 별명을 가졌을 만큼 애도의 물결이 끊이질 않았다. 	애도	애도의 밤이 시작되면 망자들 또한 살아생전 지냈던 곳으로 향한다.	애도	애도하는 각자의 방식은 존중받아야 함이 마땅했다.	애도하는	남몰래 눈물을 흘리며 마음깊이 애도했다. 	애도했다
여한	생전에 여행 한 번 보내드렸으면 여한이 없을 것을	여한	되돌아보면, 나는 이제 죽어도 여한이 없다고 느낀 순간에 가장 행복했다.	여한	소원을 이뤘으니 죽어도 여한이 없다.	여한	산 너머를 바라보는 할머니는 이제 여한이 없다시며 웃으면서 갈 수 있겠다고 하셨다. 	여한	여행을 다녀온 지 일주일이 넘어가는데 아직 여한이 가시지 않았다. 	여한	죽어도 여한이 없다는 표현을 함부로 쓰지 말라고 하셨다. 누가 듣고 데려간다며.	여한
연연하다	우리가 함께 맞은 가을에는 나무 사이의 하늘빛이 연연하였다	연연하였다	자신의 자리에 연연하는 지도자들은 현명한 지도를 펼치지 못한다.	연연하는	사사로운 것에 연연하면 높은 곳에 오를 수 없다.	연연하면	사소한 것에 연연하는 모습조차 사랑스러워 보일 지경이었다.	연연하는	도대체 언제 만나는 거냐며 약속 이야기만 나와도 연연하는 모습이 부담스럽게 느껴지기도 했다.	연연하는	가치가 있는 것들을 죄다 팔아 기어코 작위 하나를 살 만큼 신분에 연연했다.	연연했다
적적하다	항상 함께하던 이가 사라지니 못내 적적하였다.	적적하였다	적적한 집안에 활기를 부여하는 존재였다.	적적한	누구도 자신을 반겨주지 않는 집이 적적하여 식물을 들였다. 	적적하여	조용한 집이 적적하게 느껴지는 날이면 나도 모르게 익숙한 번호를 누를 것만 같아 전원을 꺼 놓곤 했다. 	적적하게	친구들을 불러 요란하게 놀기도 하며 적적한 마음을 달랬다. 	적적한	함께하기로 한 것들을 혼자 해내는 시간은 적적하게만 느껴졌다.	적적하게만
측은하다	고개를 꾸벅이며 조는 모습이 측은하였다.	측은하였다	사정을 모두 듣고 나니 측은한 생각이 들었다. 	측은한	자신을 측은하게 바라볼 뿐, 어떠한 도움도 건네지 않는 사람들	측은하게	측은한 사람들의 눈빛이 존경으로 변하는 순간은 그 무엇보다도 짜릿했다.	측은한	누구보다도 뛰어난 능력을 가진 친구가 이용만 당하는 꼴은 측은하다 못해 화가 날 지경이었다. 	측은하다	전후사정을 모두 듣고 나니 뻔뻔하게 구는 모습조차 측은하게 보였다. 	측은하게
낙담하다	쉴 새 없이 밀려드는 업무에 크게 낙담하였다. 	낙담하였다	낙담할 시간조차 아까우니 다들 일어나.	낙담할	서류 불합격의 소식은 나에게 큰 낙담을 안겨 주었다. 	낙담	낙담하는 기색도 없이 다음 경기를 준비하는 모습을 보고 크게 감명받았다.	낙담하는	원하던 결과를 얻지 못해 낙담하는 친구의 등을 그저 토닥였다.	낙담하는	힘든 세월을 함께 보낸 동료들의 배신에 크게 낙담했다.	낙담했다
낙망하다	땀을 뻘뻘 흘리며 도착한 숙소의 고장난 에어컨에 낙망하였다. 	낙망하였다	실패에 낙망하지 않고 자신을 재정비하기 시작했다. 	낙망하지	낙망하기에는 아직 이르니 차분히 기다려 보자	낙망	그 선생님은 눈물을 쏟아내며 낙망한 학생을 달래주었다. 	낙망한	그저 낙망하기에는 지금까지 노력한 시간이 눈에 밟혀 시원하게 그만두기조차 망설여졌다.	낙망하기	허세로 가득찬 그는 준비하던 시험에서 근거 없는 자만만을 끌어안고 낙망했다. 	낙망했다
낙심하다	자신을 변호할거라 믿었던 친구의 말에 크게 낙심하였다. 	낙심하였다	결과가 모든 노력을 의미하는 건 아니니 너무 낙심하지 말렴	낙심하지	크게 낙심하여 이 곳으로의 걸음을 끊었다. 	낙심하여	자신이 만든 눈사람이 온데간데없자 크게 낙심해 집에 쏙 들어가 버렸다. 	낙심해	동생이 낙심할 것을 생각하자 마음 한 구석이 아려왔다. 	낙심할	낙심하는 빛이 역력한 얼굴을 마주하는 것이 두려워 만남을 미루고만 싶었다.	낙심하는
고립감	모순적이게도, 왁자지껄한 분위기에서 더욱 정서적 고립감을 느꼈다.	고립감	타지에 오게 되어 고립감이 들 수 있으니 우리가 서로를 돌보자.	고립감	고립감을 올바르게 바라보고, 활용할 방법을 찾아보세요.	고립감	정서적 고립감을 느낄 때면 홀로 이 감정을 처리하고만 싶다. 	고립감	누구도 자신을 존중하지 않는 곳에서 겪는 정서적 고립감은 치명적이다.	고립감	내가 느끼는 고립감이 이상하지 않다며 나를 믿어주는 모습이 정말 감동적이었다.	고립감
시름겹다	아이가 죄다 납치당한 그 마을은 병들고 시름겨웠다. 	시름겨웠다	시름겨운 목소리로 나를 깨웠다. 일어나, 가야 돼. 	시름겨운	선배는 아무 말 없이 시름겹게 술을 들이켰다. 	시름겹게	밥조차 거르며 일에 매진하는 모습은 그녀를 더욱 시름겨워 보이게 만들었다. 	시름겨워	시름겨운 목소리로 전화를 건 친구가 너무 힘들어보여서 다 괜찮을 거라는 말밖에 나오지 않았다.	시름겨운	시름겹게 줄담배를 피워대는 그녀의 모습조차 매력적이었다면 실례일까.	시름겹게
상실감	크나큰 상실감에 아이의 어머니는 혼절하였다.	상실감	상실감을 보상하려는 듯 일에 전념했다.	상실감	자신의 커리어가 무너졌다는 상실감에 빠져있었다. 	상실감	나고 자란 환경이라는 태생적인 한계를 느끼며 크나큼 상실감을 맛보았다.	상실감	완경을 겪으며 사회적인 여성상에 대한 상실감으로 많이 힘들어하셨다. 	상실감	말로 표현할 수 없는 상실감에 그렇게 좋아하던 글조차 읽히지 않았다.	상실감
암담하다	자신의 앞에 놓여진 어둡고 불안한 미래가 암담하였다. 	암담하였다	암담한 심정을 알 수는 없겠지만, 들어줄 수는 있어요. 	암담한	들쭉날쭉한 수입에 생계가 암담하게 되었다. 	암담하게	그 시대의 암담함을 예술적으로 담아냈다는 점에서 찬사를 받았다. 	암담함	암담한 표정으로 비틀거리며 걷다 결국 주저앉았다.	암담한	암담할 정도로 텅 비어있는 냉장고가 고인의 마지막을 대변하는 것 같았다.	암담할
암울하다	바람도 통하지 않는 곳에 앉아 공부만 하는 상황이 암울했다.	암울했다	암울한 상황 속에서 추억을 곱씹으며 버텼다.	암울한	이 영화는 환경파괴의 주범인 인류의 미래를 암울하게 그려냈다. 	암울하게	암울한 나와는 달리 유달리 화창한 날이 원망스러울 지경이었다. 	암울한	낯선 환경에서의 무관심은 사람을 암울하게 만들기엔 충분했다. 	암울하게	이전에는 한 번도 본 적 없는 암울한 모습이었다. 	암울한
실망하다	나아지지 않는 현실에 대해 적잖이 실망했다. 	실망했다	애써 미소지었지만 실망한 기색을 감출 수는 없었다. 	실망한	뒤에서 자신을 험담하는 행동에 실망하여 그 이후로는 무엇도 부탁하지 않게 되었다. 	실망하여	다정했던 과거와 달리 확연히 달라진 그의 태도에 크게 실망했다.	실망했다	온갖 기대로 부풀려놓은 표정이 실망하게 변하는 것을 볼 낯이 없었다. 	실망하게	친구가 실망하는 모습을 보니 나도 마음이 좋지 않았다. 	실망하는
음울하다	음울한 표정으로 거대한 벽을 올려다보았다.	음울한	가정에서 보호받지 못한 음울한 유년 시절을 보냈다. 	음울한	음울하게 있기보다는 밖으로 나와 산책이라도 하자.	음울하게	우산에 난 구멍을 발견하자마자 비가 쏟아져 오늘 하루가 음울하게 느껴졌다. 	음울했다	의도한 것은 아니었겠지만, 그는 장내 분위기를 음울하게 만들었다. 	음울하게	음울한 피아노 연주가 그녀에게는 심금을 울리는 위로와도 같았다. 	음울한
참담하다	패전국의 잿더미는 참담하였다.	참담하였다	참담한 생활이 개선될 여지조차 없어보였다.	참담한	참담하게 고개를 떨구고 침묵을 지켰다. 	참담하게	주어진 시간이 얼마 남지 않았다는 사실이 참담했다.	참담했다	전쟁은 끝났지만 참담한 기운이 그 땅에 스며들었는지 음산하게 느껴졌다.	참담한	존중받지 못하고 있다고 느끼기 시작하자 자신의 신세가 참담하게 느껴졌다. 	참담하게
격동되다	분위기는 한없이 격동되었다.	격동되었다	격동되는 마음을 가라앉히기 위해 심호흡을 연거푸 하였다.	격동되는	감정이 심하게 격동될 때에 몸이 사시나무처럼 떨리곤 했다.	격동될	대기실에서도 격동되는 마음이 도무지 가라앉지를 않았다. 	격동되는	새로운 지도가 시작되며 급격한 격동을 겪었다. 	격동	그녀는 격동에 못 이겨 난리를 피우며 방을 난장판으로 만들었다. 	격동
격정	나에게 있어 일탈은 즐거움으로 가득찬 격정의 소용돌이에 빠지는 기분이었다. 	격정	격정을 누르지 못하고 소리를 질렀다.	격정	격정이 치밀어 올라 방을 엉망으로 헤집었다.	격정	그는 격정적인 어조로 상처가 되는 말을 서슴없이 내뱉었다. 	격정적인	그녀는 헝클어진 머리로 등장하여 격정적으로 자신의 억울함에 대해 토로했다. 	격정적으로	예상보다 격정적인 환영에 흠칫하며 뒤로 물러섰다.	격정적인
경탄하다	현명한 통치에 신하들은 경탄하였다. 	경탄하였다	탁월한 일 처리에 경영진들은 그녀의 능력을 경탄해 마지 않았다. 	경탄해	경탄할 정도로 빠른 성장에 혀를 내둘렀다.	경탄할	그녀의 빠르면서도 정확한 손짓에 경탄하게 되는 것이었다. 	경탄하게	적을 해치우는 그 실력에 병사들은 그저 경탄하고 있을 때에 그녀는 이미 그 자리에 없었다. 	경탄하고	고궁의 장엄한 자태에 경탄하며 본격적인 관광을 시작하였다. 	경탄하며
놀라다	갑작스러운 요구에 그 직원은 놀랐다.	놀랐다	자신의 발명품을 보고 놀란 사람들을 보니 뿌듯했다. 	놀란	크게 놀라 말조차 나오지 않았다.	놀라	자신을 훑어보는 불쾌한 시선에 놀라 몸을 작게 떨었다.	놀라	이전에는 보지 못한 거대한 규모에 주위를 둘러보며 놀랐다.	놀랐다	한없이 감정적으로 변한 친구가 도무지 이해가 가지 않고 그저 놀라울 뿐이었다.	놀라울
놀랍다	나를 지켜보기라도 한 듯, 내 과거를 모두 읊는 점술가가 놀랍다.	놀랍다	악담을 내뱉기만 하던 인간이 저렇게 변한 것을 보니 정말 놀랍다.	놀랍다	놀랍게도 성장하는 그녀의 실력은 지금껏 빛을 보지 못한 원석과도 같았다. 	놀랍게도	무엇보다도 내가 잠든 사이에 기술이 이렇게나 발전했다는 것이 놀랍다. 	놀랍다	책장에서 책 정리를 하고 있던 사서는 대뜸 숨겨진 문이 나오자 몹시 놀라웠다.	놀라웠다	한국의 전통을 현대적으로 풀어낸  여럿 관광상품들의 정교함은 그저 놀랍기만 하다.	놀랍기만
정욕	마주할 때 마다, 이루 형용할 수 없는 정욕에 사로잡혔다. 	정욕	정욕을 채우는 데에 급급하여 무엇도 보이지 않는 듯 하였다.	정욕	정욕이나 욕망이 존재하지 않았고 그저 지켜주고 싶다는 순애적 사랑이었다. 	정욕	젊은 날의 정욕을 이기지 못했다는 말은 그저 궁색한 변명같았다. 	정욕	정욕에 사로잡힌 그의 모습이 몹시 실망스러웠다.	정욕	그는 정욕에 사로잡혀 어떠한 주변의 만류에도 또 다시 유흥시설을 찾곤 했다. 	정욕
흥분	마침내 대면하게 되었을 때의 흥분을 잊을 수가 없다.	흥분	스치는 손끝에도 흥분하여 어쩔 줄을 몰라 했다.	흥분	흥분을 가라앉히고 앉아서 이야기 좀 들어줘. 	흥분	차분하다가도 자존심을 건드리는 말만 나오면 곧바로 흥분했다.	흥분	죽은 줄 알았던 황태자가 멀쩡히 살아서 돌아왔다는 소식을 접하고 온 나라가 흥분에 휩싸였다.	흥분	경기장의 흥분을 만끽하였고 몸이 떨리기까지 했다. 	흥분
감개무량하다	환대를 받으며 고향에 돌아오니 감개무량하였다.	감개무량하였다	감개무량한 표정을 지으며 한껏 허리를 굽혀 인사했다.	감개무량한	따스한 환대에 감개무량하여 어떻게든 은혜를 갚겠다 선언했다.	감개무량하여	자신이 꿈꾸던 곳에 서 있는 순간마다 감개무량했다.	감개무량했다	감개무량한 눈망울로 연신 허리를 숙여 감사를 표했다.	감개무량한	자신의 신분에 관계없이 기회를 준 장군의 은혜를 감개무량하게 여겨 목숨을 건 맹약을 맺었다. 	감개무량하게
감복하다	나는 그녀의 꾸준하고 충직한 인내심에 감복하였다.	감복하였다	똑똑한 제자는 슬기로운 스승에 감복하여 학문에 전념했다.	감복하여	자신을 믿어주는 따스한 마음씨에 감복하여 추후 보답을 약속했다.	감복하여	매일같이 정성을 다해 기도를 올리는 모습에 감복하였는지 행운이 잇따르는 일들이 일어나기 시작했다.	감복하였는지	자신을 저버리지 않은 단 하나의 존재에 감복하여 큰 공로를 약속했다.	감복하여	성은에 감복하여 가문 대대로 황제에게 충성을 바치겠다 맹세했다.	감복하여
매혹	생전 처음 경험하는 매혹을 느꼈다.	매혹을 느꼈다	유려한 말솜씨로 사람들을 매혹하는 달변가였다.	매혹하는	중독과도 같은 매혹 속으로 빠져들었다.	매혹	매혹적인 향에 취해 어지러울 지경이었다.	매혹적인	매혹적으로 다가오는 그의 손길에 소스라치듯 놀랐다.	매혹적으로	나를 매혹하려는 의도가 빤히 보임에도 불구하고 매번 넘어가니 미칠 노릇이었다. 	매혹하려는
도취하다	승리감에 마음껏 도취하였다.	도취하였다	탐욕의 황홀경에 도취한 황제는 국정을 돌보지 않았다.	도취한	연주자는 음악에 도취하여 열정적으로 연주했다.	도취하여	도취에 빠져 내가 다가오는 줄도 몰랐는지 커진 눈으로 나를 바라보았다. 	도취	자신의 춤에 흠뻑 도취하여 순간을 즐기는 모습은 정말 인상적이었다. 	도취하여	술 뿐만 아니라 연회장의 그 분위기에 흠뻑 도취했다.	도취했다
반하다	몇 시간에 걸쳐 내가 찾아온 풍경을 마주하자, 첫 눈에 반했다. 	반했다	첫 눈에 반한 사람을 잊어버릴 만큼 바보는 아니라서. 	반한	두 번째 만남에서는 반할 만한 사람이라는 생각이 들었다.	반할	꼭 특별한 순간이 아니더라도 애정이 드러나는 순간에 반하곤 했다.	반하곤	반할 만큼 다정하게 굴지 말라며 애인에게 질책을 듣곤 했다.	반할	우연히 만난 친구의 지인에게 한 눈에 반해 넋이 나가 있었다.	반해
홍취	적당한 의무는 사람의 흥취를 돕는다. 	흥취	흥취를 돋우는 데에는 음악 만한 것이 없지.	흥취	붉은 노을과 윤슬이 흥취를 자아냈다. 	흥취	흥취가 일어나 다 같이 노래를 따라 불렀다.	흥취	흥취를 자아내는 풍경을 벗 삼아 술잔을 기울이곤 했다.	흥취	흥취를 돋우는 구성진 노랫가락에 절로 몸이 움직였다.	흥취
